Time,Interval (mins),Complete,Phase C-A Min Volts,Phase C-A Avg Volts,Phase C-A Max Volts,Phase A Min Amps,Phase A Avg Amps,Phase A Max Amps,Phase C-A Voltage THD,Phase A Harmonic Current (A),Phase C-A V-Harmonic 2nd,Phase C-A V-Harmonic 3rd,Phase C-A V-Harmonic 4th,Phase C-A V-Harmonic 5th,Phase C-A V-Harmonic 6th,Phase C-A V-Harmonic 7th,Phase C-A V-Harmonic 8th,Phase C-A V-Harmonic 9th,Phase C-A V-Harmonic 10th,Phase C-A V-Harmonic 11th,Phase C-A V-Harmonic 12th,Phase C-A V-Harmonic 13th,Phase C-A V-Harmonic 14th,Phase C-A V-Harmonic 15th,Phase C-A V-Harmonic 16th,Phase C-A V-Harmonic 17th,Phase C-A V-Harmonic 18th,Phase C-A V-Harmonic 19th,Phase C-A V-Harmonic 20th,Phase C-A V-Harmonic 21st,Phase C-A V-Harmonic 22nd,Phase C-A V-Harmonic 23rd,Phase C-A V-Harmonic 24th,Phase C-A V-Harmonic 25th,Phase A I-Harmonic 2nd (A),Phase A I-Harmonic 3rd (A),Phase A I-Harmonic 4th (A),Phase A I-Harmonic 5th (A),Phase A I-Harmonic 6th (A),Phase A I-Harmonic 7th (A),Phase A I-Harmonic 8th (A),Phase A I-Harmonic 9th (A),Phase A I-Harmonic 10th (A),Phase A I-Harmonic 11th (A),Phase A I-Harmonic 12th (A),Phase A I-Harmonic 13th (A),Phase A I-Harmonic 14th (A),Phase A I-Harmonic 15th (A),Phase A I-Harmonic 16th (A),Phase A I-Harmonic 17th (A),Phase A I-Harmonic 18th (A),Phase A I-Harmonic 19th (A),Phase A I-Harmonic 20th (A),Phase A I-Harmonic 21st (A),Phase A I-Harmonic 22nd (A),Phase A I-Harmonic 23rd (A),Phase A I-Harmonic 24th (A),Phase A I-Harmonic 25th (A),Phase B-C Min Volts,Phase B-C Avg Volts,Phase B-C Max Volts,Phase B Min Amps,Phase B Avg Amps,Phase B Max Amps,Phase B-C Voltage THD,Phase B Harmonic Current (A),Phase B-C V-Harmonic 2nd,Phase B-C V-Harmonic 3rd,Phase B-C V-Harmonic 4th,Phase B-C V-Harmonic 5th,Phase B-C V-Harmonic 6th,Phase B-C V-Harmonic 7th,Phase B-C V-Harmonic 8th,Phase B-C V-Harmonic 9th,Phase B-C V-Harmonic 10th,Phase B-C V-Harmonic 11th,Phase B-C V-Harmonic 12th,Phase B-C V-Harmonic 13th,Phase B-C V-Harmonic 14th,Phase B-C V-Harmonic 15th,Phase B-C V-Harmonic 16th,Phase B-C V-Harmonic 17th,Phase B-C V-Harmonic 18th,Phase B-C V-Harmonic 19th,Phase B-C V-Harmonic 20th,Phase B-C V-Harmonic 21st,Phase B-C V-Harmonic 22nd,Phase B-C V-Harmonic 23rd,Phase B-C V-Harmonic 24th,Phase B-C V-Harmonic 25th,Phase B I-Harmonic 2nd (A),Phase B I-Harmonic 3rd (A),Phase B I-Harmonic 4th (A),Phase B I-Harmonic 5th (A),Phase B I-Harmonic 6th (A),Phase B I-Harmonic 7th (A),Phase B I-Harmonic 8th (A),Phase B I-Harmonic 9th (A),Phase B I-Harmonic 10th (A),Phase B I-Harmonic 11th (A),Phase B I-Harmonic 12th (A),Phase B I-Harmonic 13th (A),Phase B I-Harmonic 14th (A),Phase B I-Harmonic 15th (A),Phase B I-Harmonic 16th (A),Phase B I-Harmonic 17th (A),Phase B I-Harmonic 18th (A),Phase B I-Harmonic 19th (A),Phase B I-Harmonic 20th (A),Phase B I-Harmonic 21st (A),Phase B I-Harmonic 22nd (A),Phase B I-Harmonic 23rd (A),Phase B I-Harmonic 24th (A),Phase B I-Harmonic 25th (A),Phase A-B Min Volts,Phase A-B Avg Volts,Phase A-B Max Volts,Phase C Min Amps,Phase C Avg Amps,Phase C Max Amps,Phase A-B Voltage THD,Phase C Harmonic Current (A),Phase A-B V-Harmonic 2nd,Phase A-B V-Harmonic 3rd,Phase A-B V-Harmonic 4th,Phase A-B V-Harmonic 5th,Phase A-B V-Harmonic 6th,Phase A-B V-Harmonic 7th,Phase A-B V-Harmonic 8th,Phase A-B V-Harmonic 9th,Phase A-B V-Harmonic 10th,Phase A-B V-Harmonic 11th,Phase A-B V-Harmonic 12th,Phase A-B V-Harmonic 13th,Phase A-B V-Harmonic 14th,Phase A-B V-Harmonic 15th,Phase A-B V-Harmonic 16th,Phase A-B V-Harmonic 17th,Phase A-B V-Harmonic 18th,Phase A-B V-Harmonic 19th,Phase A-B V-Harmonic 20th,Phase A-B V-Harmonic 21st,Phase A-B V-Harmonic 22nd,Phase A-B V-Harmonic 23rd,Phase A-B V-Harmonic 24th,Phase A-B V-Harmonic 25th,Phase C I-Harmonic 2nd (A),Phase C I-Harmonic 3rd (A),Phase C I-Harmonic 4th (A),Phase C I-Harmonic 5th (A),Phase C I-Harmonic 6th (A),Phase C I-Harmonic 7th (A),Phase C I-Harmonic 8th (A),Phase C I-Harmonic 9th (A),Phase C I-Harmonic 10th (A),Phase C I-Harmonic 11th (A),Phase C I-Harmonic 12th (A),Phase C I-Harmonic 13th (A),Phase C I-Harmonic 14th (A),Phase C I-Harmonic 15th (A),Phase C I-Harmonic 16th (A),Phase C I-Harmonic 17th (A),Phase C I-Harmonic 18th (A),Phase C I-Harmonic 19th (A),Phase C I-Harmonic 20th (A),Phase C I-Harmonic 21st (A),Phase C I-Harmonic 22nd (A),Phase C I-Harmonic 23rd (A),Phase C I-Harmonic 24th (A),Phase C I-Harmonic 25th (A),Total Apparent Power (VA),Total PF (Lagging is +),Total Real Power (W),Total Reactive Power (VAR),Min Frequency (Hz),Avg Frequency (Hz),Max Frequency (Hz)
23-Jul-2018 12:50:00,10.000,Y,119.20,120.08,120.64,0.62,0.70,0.81,2.69%,0.47,0.11%,1.93%,0.04%,1.36%,0.03%,0.92%,0.02%,0.68%,0.02%,0.24%,0.01%,0.36%,0.01%,0.11%,0.01%,0.21%,0.01%,0.15%,0.01%,0.16%,0.01%,0.09%,0.01%,0.05%,0.00,0.33,0.00,0.21,0.00,0.19,0.00,0.17,0.00,0.09,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,118.44,119.40,119.78,2.42,2.70,2.96,3.47%,0.69,0.11%,2.34%,0.04%,1.97%,0.03%,1.11%,0.02%,0.98%,0.02%,0.36%,0.01%,0.40%,0.02%,0.33%,0.01%,0.09%,0.01%,0.14%,0.01%,0.17%,0.01%,0.05%,0.01%,0.11%,0.03,0.58,0.01,0.32,0.01,0.11,0.00,0.11,0.00,0.07,0.00,0.02,0.00,0.06,0.00,0.07,0.00,0.03,0.00,0.03,0.00,0.04,0.00,0.02,238.10,239.84,240.54,0.00,0.00,0.00,3.04%,0.00,0.11%,2.13%,0.04%,1.66%,0.03%,1.02%,0.02%,0.82%,0.02%,0.23%,0.01%,0.38%,0.01%,0.13%,0.01%,0.07%,0.01%,0.12%,0.01%,0.02%,0.01%,0.05%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384,0.827,324,168,59.94,59.99,60.05
23-Jul-2018 13:00:00,10.000,Y,119.06,120.08,120.58,0.62,0.71,0.82,2.70%,0.48,0.13%,1.94%,0.04%,1.36%,0.03%,0.95%,0.03%,0.68%,0.02%,0.26%,0.02%,0.35%,0.01%,0.09%,0.01%,0.21%,0.01%,0.14%,0.01%,0.16%,0.01%,0.09%,0.01%,0.05%,0.00,0.33,0.00,0.21,0.00,0.19,0.00,0.18,0.00,0.09,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,118.70,119.78,120.30,2.37,2.65,3.20,3.47%,0.65,0.13%,2.30%,0.05%,1.99%,0.03%,1.15%,0.03%,0.96%,0.02%,0.36%,0.02%,0.40%,0.02%,0.34%,0.01%,0.08%,0.01%,0.15%,0.01%,0.16%,0.01%,0.05%,0.01%,0.11%,0.03,0.54,0.01,0.29,0.01,0.09,0.00,0.11,0.00,0.07,0.00,0.02,0.00,0.06,0.00,0.07,0.00,0.03,0.00,0.03,0.00,0.04,0.00,0.02,238.88,240.20,240.86,0.00,0.00,0.00,3.05%,0.00,0.13%,2.11%,0.04%,1.68%,0.03%,1.05%,0.03%,0.81%,0.02%,0.24%,0.02%,0.38%,0.01%,0.14%,0.01%,0.07%,0.01%,0.13%,0.01%,0.02%,0.01%,0.05%,0.01%,0.05%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384,0.826,312,168,59.95,60.00,60.04
23-Jul-2018 13:10:00,10.000,Y,118.52,119.52,120.02,0.63,0.71,0.82,2.67%,0.48,0.13%,1.94%,0.05%,1.36%,0.03%,0.93%,0.03%,0.62%,0.02%,0.25%,0.02%,0.30%,0.02%,0.09%,0.01%,0.19%,0.01%,0.13%,0.01%,0.15%,0.01%,0.10%,0.01%,0.05%,0.00,0.33,0.00,0.21,0.00,0.19,0.00,0.18,0.00,0.09,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,118.50,119.60,120.12,2.18,2.62,3.01,3.46%,0.62,0.13%,2.30%,0.05%,1.99%,0.04%,1.16%,0.03%,0.93%,0.02%,0.38%,0.02%,0.36%,0.02%,0.33%,0.02%,0.10%,0.01%,0.15%,0.01%,0.16%,0.01%,0.04%,0.01%,0.11%,0.03,0.52,0.01,0.29,0.00,0.10,0.00,0.10,0.00,0.06,0.00,0.02,0.00,0.06,0.00,0.07,0.00,0.03,0.00,0.03,0.00,0.04,0.00,0.02,237.70,239.44,240.28,0.00,0.00,0.00,3.03%,0.00,0.13%,2.12%,0.05%,1.67%,0.03%,1.05%,0.02%,0.77%,0.02%,0.25%,0.02%,0.33%,0.01%,0.14%,0.01%,0.06%,0.01%,0.11%,0.01%,0.02%,0.01%,0.05%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384,0.826,312,168,59.95,60.00,60.06
23-Jul-2018 13:20:00,10.000,Y,118.56,119.60,120.14,0.61,0.70,0.80,2.75%,0.47,0.13%,1.98%,0.05%,1.41%,0.03%,0.96%,0.02%,0.67%,0.02%,0.20%,0.02%,0.30%,0.01%,0.10%,0.01%,0.17%,0.01%,0.14%,0.01%,0.14%,0.01%,0.09%,0.01%,0.05%,0.00,0.32,0.00,0.21,0.00,0.19,0.00,0.17,0.00,0.09,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,118.26,119.28,119.70,2.18,2.27,5.55,3.34%,0.33,0.13%,2.24%,0.05%,1.90%,0.03%,1.14%,0.03%,0.90%,0.02%,0.37%,0.02%,0.36%,0.02%,0.31%,0.01%,0.08%,0.01%,0.13%,0.01%,0.16%,0.01%,0.03%,0.01%,0.11%,0.03,0.26,0.01,0.14,0.00,0.05,0.00,0.07,0.00,0.06,0.00,0.02,0.00,0.03,0.00,0.05,0.00,0.04,0.00,0.03,0.00,0.02,0.00,0.02,237.78,239.22,239.82,0.00,0.00,0.00,3.02%,0.00,0.13%,2.10%,0.04%,1.66%,0.03%,1.05%,0.02%,0.78%,0.02%,0.23%,0.02%,0.33%,0.01%,0.14%,0.01%,0.06%,0.01%,0.11%,0.01%,0.03%,0.01%,0.04%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,336,0.822,276,156,59.96,60.01,60.06
23-Jul-2018 13:30:00,10.000,Y,118.60,119.48,119.94,0.62,0.70,0.80,2.76%,0.47,0.13%,1.93%,0.04%,1.44%,0.03%,1.02%,0.03%,0.71%,0.02%,0.20%,0.02%,0.30%,0.02%,0.10%,0.01%,0.17%,0.01%,0.12%,0.01%,0.17%,0.01%,0.08%,0.01%,0.06%,0.00,0.32,0.00,0.21,0.00,0.19,0.00,0.17,0.00,0.08,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,118.42,119.40,119.90,2.18,2.27,2.72,3.30%,0.34,0.13%,2.19%,0.05%,1.89%,0.03%,1.13%,0.03%,0.92%,0.02%,0.36%,0.02%,0.34%,0.02%,0.28%,0.01%,0.09%,0.01%,0.11%,0.01%,0.16%,0.01%,0.05%,0.01%,0.10%,0.03,0.27,0.01,0.15,0.00,0.05,0.00,0.06,0.00,0.06,0.00,0.02,0.00,0.03,0.00,0.05,0.00,0.04,0.00,0.03,0.00,0.02,0.00,0.02,237.90,239.22,239.80,0.00,0.00,0.00,3.00%,0.00,0.13%,2.06%,0.05%,1.67%,0.03%,1.07%,0.03%,0.81%,0.02%,0.23%,0.02%,0.32%,0.01%,0.12%,0.01%,0.04%,0.01%,0.09%,0.01%,0.02%,0.01%,0.03%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,336,0.822,276,156,59.95,60.00,60.04
23-Jul-2018 13:40:00,10.000,Y,118.42,119.50,120.00,0.62,0.70,0.80,2.88%,0.47,0.11%,2.03%,0.04%,1.50%,0.03%,1.04%,0.02%,0.75%,0.02%,0.21%,0.01%,0.31%,0.01%,0.13%,0.01%,0.15%,0.01%,0.14%,0.01%,0.17%,0.01%,0.07%,0.01%,0.07%,0.00,0.32,0.00,0.21,0.00,0.19,0.00,0.17,0.00,0.08,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,118.54,119.48,119.90,2.06,2.29,2.74,3.27%,0.33,0.11%,2.20%,0.04%,1.84%,0.03%,1.11%,0.02%,0.93%,0.02%,0.33%,0.02%,0.31%,0.01%,0.28%,0.01%,0.10%,0.01%,0.09%,0.01%,0.15%,0.01%,0.07%,0.01%,0.08%,0.03,0.26,0.01,0.14,0.00,0.05,0.00,0.08,0.00,0.07,0.00,0.02,0.00,0.03,0.00,0.06,0.00,0.04,0.00,0.02,0.00,0.02,0.00,0.02,237.50,239.32,239.98,0.00,0.00,0.00,3.05%,0.00,0.11%,2.11%,0.04%,1.67%,0.03%,1.08%,0.02%,0.84%,0.02%,0.22%,0.01%,0.31%,0.01%,0.14%,0.01%,0.03%,0.01%,0.10%,0.01%,0.04%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,336,0.825,276,168,59.94,59.99,60.03
23-Jul-2018 13:50:00,10.000,Y,116.74,119.72,120.58,0.60,0.77,6.29,2.84%,0.46,0.12%,2.01%,0.05%,1.45%,0.03%,1.03%,0.02%,0.77%,0.02%,0.22%,0.02%,0.32%,0.01%,0.14%,0.01%,0.17%,0.01%,0.14%,0.01%,0.18%,0.01%,0.07%,0.01%,0.06%,0.00,0.32,0.00,0.21,0.00,0.19,0.00,0.17,0.00,0.08,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,116.80,119.82,120.40,2.07,2.29,2.72,3.30%,0.33,0.13%,2.20%,0.05%,1.87%,0.03%,1.13%,0.03%,0.96%,0.02%,0.32%,0.02%,0.33%,0.02%,0.27%,0.01%,0.10%,0.01%,0.09%,0.01%,0.15%,0.01%,0.08%,0.01%,0.08%,0.03,0.26,0.01,0.14,0.00,0.05,0.00,0.08,0.00,0.07,0.00,0.02,0.00,0.03,0.00,0.05,0.00,0.04,0.00,0.02,0.00,0.02,0.00,0.02,233.88,239.88,241.32,0.00,0.00,0.00,3.05%,0.00,0.13%,2.10%,0.05%,1.66%,0.03%,1.08%,0.02%,0.86%,0.02%,0.21%,0.02%,0.32%,0.01%,0.13%,0.01%,0.04%,0.01%,0.10%,0.01%,0.04%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348,0.830,288,168,59.96,59.99,60.03
23-Jul-2018 14:00:00,10.000,Y,117.46,119.76,120.24,0.58,0.70,0.81,2.85%,0.47,0.13%,2.02%,0.05%,1.43%,0.04%,1.03%,0.03%,0.80%,0.02%,0.22%,0.02%,0.34%,0.01%,0.15%,0.01%,0.16%,0.01%,0.14%,0.01%,0.17%,0.01%,0.05%,0.01%,0.05%,0.00,0.32,0.00,0.21,0.00,0.19,0.00,0.17,0.00,0.08,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,117.30,119.62,120.18,2.15,2.33,2.79,3.26%,0.34,0.14%,2.20%,0.05%,1.83%,0.04%,1.09%,0.03%,0.97%,0.02%,0.30%,0.02%,0.33%,0.02%,0.27%,0.01%,0.10%,0.01%,0.09%,0.01%,0.14%,0.01%,0.09%,0.01%,0.07%,0.03,0.27,0.01,0.15,0.00,0.05,0.00,0.08,0.00,0.06,0.00,0.03,0.00,0.03,0.00,0.05,0.00,0.04,0.00,0.03,0.00,0.02,0.00,0.02,235.14,239.70,240.48,0.00,0.00,0.00,3.03%,0.00,0.13%,2.11%,0.05%,1.63%,0.04%,1.06%,0.03%,0.88%,0.02%,0.20%,0.02%,0.33%,0.01%,0.14%,0.01%,0.04%,0.01%,0.11%,0.01%,0.05%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,336,0.830,288,156,59.96,60.00,60.06
23-Jul-2018 14:10:00,10.000,Y,118.72,119.86,120.48,0.61,0.70,0.81,2.87%,0.46,0.13%,2.03%,0.05%,1.45%,0.03%,1.03%,0.03%,0.80%,0.02%,0.20%,0.02%,0.35%,0.02%,0.15%,0.02%,0.17%,0.01%,0.17%,0.01%,0.18%,0.01%,0.06%,0.01%,0.06%,0.00,0.32,0.00,0.21,0.00,0.19,0.00,0.17,0.00,0.08,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,118.34,119.82,120.24,2.16,2.30,2.71,3.27%,0.34,0.13%,2.18%,0.05%,1.86%,0.03%,1.10%,0.03%,0.94%,0.02%,0.30%,0.02%,0.32%,0.01%,0.29%,0.01%,0.10%,0.01%,0.08%,0.01%,0.13%,0.01%,0.09%,0.01%,0.05%,0.03,0.27,0.01,0.15,0.00,0.05,0.00,0.07,0.00,0.07,0.00,0.02,0.00,0.03,0.00,0.06,0.00,0.04,0.00,0.02,0.00,0.02,0.00,0.02,237.96,240.02,240.54,0.00,0.00,0.00,3.05%,0.00,0.13%,2.10%,0.05%,1.65%,0.03%,1.07%,0.02%,0.86%,0.02%,0.20%,0.02%,0.33%,0.01%,0.17%,0.01%,0.04%,0.01%,0.12%,0.01%,0.07%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,336,0.824,276,168,59.91,60.00,60.07
23-Jul-2018 14:20:00,10.000,Y,119.00,119.88,120.32,0.61,0.70,0.81,2.83%,0.47,0.15%,2.01%,0.05%,1.41%,0.04%,1.01%,0.03%,0.80%,0.02%,0.18%,0.02%,0.36%,0.02%,0.17%,0.02%,0.17%,0.01%,0.18%,0.01%,0.19%,0.01%,0.06%,0.01%,0.06%,0.00,0.32,0.00,0.21,0.00,0.18,0.00,0.17,0.00,0.08,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,118.92,119.84,120.36,2.12,2.27,2.78,3.27%,0.38,0.15%,2.18%,0.06%,1.84%,0.04%,1.10%,0.03%,0.96%,0.02%,0.29%,0.02%,0.33%,0.02%,0.30%,0.02%,0.10%,0.02%,0.10%,0.01%,0.13%,0.01%,0.08%,0.01%,0.05%,0.02,0.33,0.00,0.13,0.00,0.03,0.00,0.08,0.00,0.06,0.00,0.02,0.00,0.03,0.00,0.05,0.00,0.04,0.00,0.02,0.00,0.02,0.00,0.02,238.66,240.06,240.70,0.00,0.00,0.00,3.03%,0.00,0.15%,2.09%,0.06%,1.63%,0.04%,1.05%,0.03%,0.87%,0.02%,0.18%,0.02%,0.34%,0.02%,0.18%,0.01%,0.04%,0.01%,0.13%,0.01%,0.07%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348,0.999,312,24,59.96,60.01,60.08
