Time,Interval (mins),Complete,Phase C-A Min Volts,Phase C-A Avg Volts,Phase C-A Max Volts,Phase A Min Amps,Phase A Avg Amps,Phase A Max Amps,Phase C-A Voltage THD,Phase A Harmonic Current (A),Phase C-A V-Harmonic 2nd,Phase C-A V-Harmonic 3rd,Phase C-A V-Harmonic 4th,Phase C-A V-Harmonic 5th,Phase C-A V-Harmonic 6th,Phase C-A V-Harmonic 7th,Phase C-A V-Harmonic 8th,Phase C-A V-Harmonic 9th,Phase C-A V-Harmonic 10th,Phase C-A V-Harmonic 11th,Phase C-A V-Harmonic 12th,Phase C-A V-Harmonic 13th,Phase C-A V-Harmonic 14th,Phase C-A V-Harmonic 15th,Phase C-A V-Harmonic 16th,Phase C-A V-Harmonic 17th,Phase C-A V-Harmonic 18th,Phase C-A V-Harmonic 19th,Phase C-A V-Harmonic 20th,Phase C-A V-Harmonic 21st,Phase C-A V-Harmonic 22nd,Phase C-A V-Harmonic 23rd,Phase C-A V-Harmonic 24th,Phase C-A V-Harmonic 25th,Phase A I-Harmonic 2nd (A),Phase A I-Harmonic 3rd (A),Phase A I-Harmonic 4th (A),Phase A I-Harmonic 5th (A),Phase A I-Harmonic 6th (A),Phase A I-Harmonic 7th (A),Phase A I-Harmonic 8th (A),Phase A I-Harmonic 9th (A),Phase A I-Harmonic 10th (A),Phase A I-Harmonic 11th (A),Phase A I-Harmonic 12th (A),Phase A I-Harmonic 13th (A),Phase A I-Harmonic 14th (A),Phase A I-Harmonic 15th (A),Phase A I-Harmonic 16th (A),Phase A I-Harmonic 17th (A),Phase A I-Harmonic 18th (A),Phase A I-Harmonic 19th (A),Phase A I-Harmonic 20th (A),Phase A I-Harmonic 21st (A),Phase A I-Harmonic 22nd (A),Phase A I-Harmonic 23rd (A),Phase A I-Harmonic 24th (A),Phase A I-Harmonic 25th (A),Phase B-C Min Volts,Phase B-C Avg Volts,Phase B-C Max Volts,Phase B Min Amps,Phase B Avg Amps,Phase B Max Amps,Phase B-C Voltage THD,Phase B Harmonic Current (A),Phase B-C V-Harmonic 2nd,Phase B-C V-Harmonic 3rd,Phase B-C V-Harmonic 4th,Phase B-C V-Harmonic 5th,Phase B-C V-Harmonic 6th,Phase B-C V-Harmonic 7th,Phase B-C V-Harmonic 8th,Phase B-C V-Harmonic 9th,Phase B-C V-Harmonic 10th,Phase B-C V-Harmonic 11th,Phase B-C V-Harmonic 12th,Phase B-C V-Harmonic 13th,Phase B-C V-Harmonic 14th,Phase B-C V-Harmonic 15th,Phase B-C V-Harmonic 16th,Phase B-C V-Harmonic 17th,Phase B-C V-Harmonic 18th,Phase B-C V-Harmonic 19th,Phase B-C V-Harmonic 20th,Phase B-C V-Harmonic 21st,Phase B-C V-Harmonic 22nd,Phase B-C V-Harmonic 23rd,Phase B-C V-Harmonic 24th,Phase B-C V-Harmonic 25th,Phase B I-Harmonic 2nd (A),Phase B I-Harmonic 3rd (A),Phase B I-Harmonic 4th (A),Phase B I-Harmonic 5th (A),Phase B I-Harmonic 6th (A),Phase B I-Harmonic 7th (A),Phase B I-Harmonic 8th (A),Phase B I-Harmonic 9th (A),Phase B I-Harmonic 10th (A),Phase B I-Harmonic 11th (A),Phase B I-Harmonic 12th (A),Phase B I-Harmonic 13th (A),Phase B I-Harmonic 14th (A),Phase B I-Harmonic 15th (A),Phase B I-Harmonic 16th (A),Phase B I-Harmonic 17th (A),Phase B I-Harmonic 18th (A),Phase B I-Harmonic 19th (A),Phase B I-Harmonic 20th (A),Phase B I-Harmonic 21st (A),Phase B I-Harmonic 22nd (A),Phase B I-Harmonic 23rd (A),Phase B I-Harmonic 24th (A),Phase B I-Harmonic 25th (A),Phase A-B Min Volts,Phase A-B Avg Volts,Phase A-B Max Volts,Phase C Min Amps,Phase C Avg Amps,Phase C Max Amps,Phase A-B Voltage THD,Phase C Harmonic Current (A),Phase A-B V-Harmonic 2nd,Phase A-B V-Harmonic 3rd,Phase A-B V-Harmonic 4th,Phase A-B V-Harmonic 5th,Phase A-B V-Harmonic 6th,Phase A-B V-Harmonic 7th,Phase A-B V-Harmonic 8th,Phase A-B V-Harmonic 9th,Phase A-B V-Harmonic 10th,Phase A-B V-Harmonic 11th,Phase A-B V-Harmonic 12th,Phase A-B V-Harmonic 13th,Phase A-B V-Harmonic 14th,Phase A-B V-Harmonic 15th,Phase A-B V-Harmonic 16th,Phase A-B V-Harmonic 17th,Phase A-B V-Harmonic 18th,Phase A-B V-Harmonic 19th,Phase A-B V-Harmonic 20th,Phase A-B V-Harmonic 21st,Phase A-B V-Harmonic 22nd,Phase A-B V-Harmonic 23rd,Phase A-B V-Harmonic 24th,Phase A-B V-Harmonic 25th,Phase C I-Harmonic 2nd (A),Phase C I-Harmonic 3rd (A),Phase C I-Harmonic 4th (A),Phase C I-Harmonic 5th (A),Phase C I-Harmonic 6th (A),Phase C I-Harmonic 7th (A),Phase C I-Harmonic 8th (A),Phase C I-Harmonic 9th (A),Phase C I-Harmonic 10th (A),Phase C I-Harmonic 11th (A),Phase C I-Harmonic 12th (A),Phase C I-Harmonic 13th (A),Phase C I-Harmonic 14th (A),Phase C I-Harmonic 15th (A),Phase C I-Harmonic 16th (A),Phase C I-Harmonic 17th (A),Phase C I-Harmonic 18th (A),Phase C I-Harmonic 19th (A),Phase C I-Harmonic 20th (A),Phase C I-Harmonic 21st (A),Phase C I-Harmonic 22nd (A),Phase C I-Harmonic 23rd (A),Phase C I-Harmonic 24th (A),Phase C I-Harmonic 25th (A),Total Apparent Power (VA),Total PF (Lagging is +),Total Real Power (W),Total Reactive Power (VAR),Min Frequency (Hz),Avg Frequency (Hz),Max Frequency (Hz)
23-Jul-2018 14:40:00,10.000,Y,117.90,119.20,120.24,0.73,0.81,0.86,2.96%,0.07,0.11%,1.97%,0.06%,1.68%,0.05%,1.03%,0.04%,0.87%,0.03%,0.24%,0.02%,0.28%,0.02%,0.11%,0.02%,0.02%,0.01%,0.08%,0.01%,0.06%,0.01%,0.02%,0.01%,0.05%,0.00,0.05,0.00,0.04,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,119.26,120.88,121.70,0.91,1.02,1.08,3.06%,0.09,0.11%,1.97%,0.06%,1.85%,0.04%,1.05%,0.03%,0.87%,0.03%,0.21%,0.02%,0.27%,0.02%,0.24%,0.01%,0.07%,0.01%,0.06%,0.01%,0.06%,0.01%,0.05%,0.01%,0.03%,0.01,0.04,0.00,0.07,0.00,0.03,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,238.02,239.18,239.62,0.00,0.00,0.00,3.00%,0.00,0.11%,1.97%,0.06%,1.76%,0.04%,1.04%,0.03%,0.87%,0.03%,0.22%,0.02%,0.27%,0.02%,0.17%,0.01%,0.04%,0.01%,0.07%,0.01%,0.05%,0.01%,0.03%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216,0.950,204,60,59.95,59.99,60.05
23-Jul-2018 14:50:00,10.000,Y,118.48,119.96,121.18,0.23,0.54,3.45,2.94%,0.05,0.13%,1.96%,0.05%,1.63%,0.03%,1.06%,0.03%,0.89%,0.02%,0.23%,0.02%,0.30%,0.02%,0.11%,0.01%,0.03%,0.01%,0.08%,0.01%,0.06%,0.01%,0.02%,0.01%,0.06%,0.00,0.03,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,117.82,120.02,120.92,0.92,1.02,1.54,3.01%,0.09,0.13%,1.95%,0.05%,1.78%,0.03%,1.05%,0.03%,0.88%,0.02%,0.21%,0.01%,0.27%,0.01%,0.24%,0.01%,0.07%,0.01%,0.06%,0.01%,0.06%,0.01%,0.04%,0.01%,0.03%,0.01,0.03,0.00,0.07,0.00,0.04,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,237.48,239.06,239.72,0.00,0.00,0.00,2.97%,0.00,0.12%,1.95%,0.05%,1.70%,0.03%,1.05%,0.03%,0.88%,0.02%,0.22%,0.01%,0.28%,0.01%,0.17%,0.01%,0.04%,0.01%,0.07%,0.01%,0.05%,0.01%,0.03%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180,0.947,180,48,59.96,60.00,60.05
23-Jul-2018 15:00:00,10.000,Y,114.52,119.92,121.08,0.00,0.00,0.34,2.84%,0.00,0.13%,1.93%,0.05%,1.56%,0.03%,1.03%,0.03%,0.84%,0.02%,0.21%,0.02%,0.29%,0.02%,0.09%,0.01%,0.03%,0.01%,0.06%,0.01%,0.06%,0.01%,0.03%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.40,119.56,122.48,0.92,1.01,1.53,2.99%,0.09,0.13%,1.93%,0.05%,1.75%,0.03%,1.08%,0.03%,0.88%,0.02%,0.21%,0.02%,0.28%,0.02%,0.21%,0.01%,0.07%,0.01%,0.06%,0.01%,0.05%,0.01%,0.04%,0.01%,0.03%,0.01,0.03,0.00,0.07,0.00,0.04,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,235.78,238.56,239.38,0.00,0.00,0.00,2.91%,0.00,0.13%,1.93%,0.05%,1.65%,0.03%,1.05%,0.03%,0.86%,0.02%,0.20%,0.02%,0.29%,0.02%,0.15%,0.01%,0.03%,0.01%,0.05%,0.01%,0.04%,0.01%,0.02%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,0.937,108,36,59.96,60.00,60.05
23-Jul-2018 15:10:00,10.000,Y,117.64,120.42,121.56,0.00,0.00,0.34,2.68%,0.00,0.11%,1.83%,0.05%,1.46%,0.03%,0.92%,0.04%,0.82%,0.02%,0.17%,0.01%,0.27%,0.02%,0.08%,0.01%,0.06%,0.01%,0.03%,0.01%,0.06%,0.01%,0.06%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.74,119.78,121.58,0.92,1.00,1.06,3.26%,0.09,0.12%,2.16%,0.05%,1.91%,0.03%,1.07%,0.03%,0.94%,0.02%,0.26%,0.02%,0.35%,0.01%,0.23%,0.01%,0.06%,0.01%,0.10%,0.01%,0.08%,0.01%,0.05%,0.01%,0.04%,0.01,0.03,0.00,0.07,0.00,0.04,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,234.58,239.28,240.28,0.00,0.00,0.00,2.96%,0.00,0.11%,1.99%,0.04%,1.68%,0.03%,1.00%,0.03%,0.88%,0.02%,0.20%,0.01%,0.31%,0.01%,0.15%,0.01%,0.03%,0.01%,0.06%,0.01%,0.04%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,0.936,108,36,59.94,59.99,60.04
23-Jul-2018 15:20:00,10.000,Y,118.64,120.26,121.10,0.00,0.00,0.34,2.69%,0.00,0.11%,1.88%,0.04%,1.42%,0.03%,0.93%,0.02%,0.84%,0.02%,0.16%,0.02%,0.26%,0.02%,0.10%,0.01%,0.06%,0.01%,0.04%,0.01%,0.05%,0.01%,0.06%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.36,120.04,121.26,0.91,1.00,1.05,3.06%,0.09,0.11%,2.02%,0.04%,1.76%,0.03%,1.06%,0.02%,0.91%,0.02%,0.19%,0.02%,0.32%,0.02%,0.22%,0.01%,0.08%,0.01%,0.07%,0.01%,0.09%,0.01%,0.06%,0.01%,0.03%,0.01,0.03,0.00,0.07,0.00,0.04,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,237.28,239.40,240.42,0.00,0.00,0.00,2.87%,0.00,0.11%,1.95%,0.04%,1.58%,0.03%,1.00%,0.02%,0.87%,0.02%,0.16%,0.01%,0.29%,0.01%,0.16%,0.01%,0.05%,0.01%,0.05%,0.01%,0.05%,0.01%,0.04%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,0.936,108,36,59.96,59.99,60.05
23-Jul-2018 15:30:00,10.000,Y,118.46,120.30,121.18,0.00,0.00,0.35,2.70%,0.00,0.12%,1.91%,0.05%,1.40%,0.04%,0.89%,0.03%,0.85%,0.02%,0.17%,0.02%,0.24%,0.02%,0.10%,0.01%,0.06%,0.01%,0.05%,0.01%,0.06%,0.01%,0.07%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.06,119.94,120.96,0.91,0.99,1.05,3.05%,0.09,0.13%,2.02%,0.05%,1.74%,0.03%,1.07%,0.03%,0.92%,0.02%,0.16%,0.02%,0.30%,0.02%,0.20%,0.01%,0.09%,0.01%,0.05%,0.01%,0.09%,0.01%,0.09%,0.01%,0.02%,0.01,0.03,0.00,0.06,0.00,0.04,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,237.64,239.32,240.18,0.00,0.00,0.00,2.87%,0.00,0.12%,1.96%,0.05%,1.56%,0.03%,0.98%,0.03%,0.88%,0.02%,0.15%,0.02%,0.27%,0.01%,0.15%,0.01%,0.05%,0.01%,0.04%,0.01%,0.06%,0.01%,0.05%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,0.936,108,36,59.95,60.00,60.05
23-Jul-2018 15:40:00,10.000,Y,117.32,118.94,120.84,0.00,0.00,0.34,2.69%,0.00,0.14%,1.95%,0.05%,1.33%,0.03%,0.88%,0.03%,0.85%,0.02%,0.18%,0.02%,0.25%,0.02%,0.10%,0.01%,0.03%,0.01%,0.06%,0.01%,0.06%,0.01%,0.06%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.40,121.02,121.92,0.90,0.99,1.04,3.02%,0.08,0.14%,1.99%,0.06%,1.68%,0.04%,1.09%,0.03%,0.96%,0.02%,0.18%,0.02%,0.31%,0.02%,0.22%,0.01%,0.10%,0.01%,0.05%,0.01%,0.07%,0.01%,0.09%,0.01%,0.03%,0.01,0.03,0.00,0.06,0.00,0.04,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,237.72,239.06,239.78,0.00,0.00,0.00,2.85%,0.00,0.14%,1.97%,0.05%,1.51%,0.03%,0.99%,0.03%,0.90%,0.02%,0.16%,0.02%,0.28%,0.01%,0.15%,0.01%,0.05%,0.01%,0.04%,0.01%,0.05%,0.01%,0.04%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,0.934,108,36,59.97,60.01,60.05
23-Jul-2018 15:50:00,10.000,Y,117.46,119.56,120.66,0.11,0.11,2.13,2.75%,0.01,0.13%,2.02%,0.05%,1.34%,0.03%,0.84%,0.02%,0.90%,0.02%,0.15%,0.01%,0.23%,0.02%,0.11%,0.01%,0.05%,0.01%,0.06%,0.01%,0.05%,0.01%,0.07%,0.01%,0.02%,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.74,120.74,122.04,0.90,3.45,9.15,3.09%,0.14,0.12%,2.06%,0.05%,1.71%,0.03%,1.09%,0.03%,0.99%,0.02%,0.17%,0.02%,0.32%,0.02%,0.23%,0.01%,0.09%,0.01%,0.06%,0.01%,0.07%,0.01%,0.09%,0.01%,0.03%,0.01,0.07,0.01,0.09,0.00,0.06,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,238.34,239.38,240.10,0.00,0.00,0.00,2.91%,0.00,0.12%,2.04%,0.04%,1.53%,0.03%,0.97%,0.02%,0.94%,0.02%,0.15%,0.01%,0.27%,0.01%,0.16%,0.01%,0.05%,0.01%,0.05%,0.01%,0.05%,0.01%,0.05%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,432,0.954,420,36,59.96,60.00,60.05
23-Jul-2018 16:00:00,10.000,Y,117.82,119.58,120.30,0.22,0.27,0.86,2.75%,0.03,0.13%,2.02%,0.05%,1.34%,0.03%,0.86%,0.03%,0.90%,0.02%,0.14%,0.01%,0.24%,0.02%,0.13%,0.01%,0.05%,0.01%,0.06%,0.01%,0.02%,0.01%,0.06%,0.01%,0.04%,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.72,120.58,121.56,0.91,3.18,9.07,3.14%,0.14,0.12%,2.12%,0.05%,1.71%,0.03%,1.10%,0.03%,0.98%,0.02%,0.18%,0.02%,0.33%,0.01%,0.22%,0.01%,0.08%,0.01%,0.07%,0.01%,0.08%,0.01%,0.08%,0.01%,0.04%,0.01,0.07,0.01,0.09,0.00,0.06,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,237.78,239.26,239.96,0.00,0.00,0.00,2.93%,0.00,0.12%,2.07%,0.04%,1.52%,0.03%,0.98%,0.02%,0.93%,0.02%,0.15%,0.01%,0.28%,0.01%,0.17%,0.01%,0.05%,0.01%,0.05%,0.01%,0.05%,0.01%,0.05%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,420,0.955,408,36,59.96,60.00,60.05
23-Jul-2018 16:10:00,10.000,Y,118.06,119.60,120.74,0.00,0.00,0.34,2.71%,0.00,0.12%,2.01%,0.05%,1.29%,0.04%,0.87%,0.03%,0.88%,0.02%,0.13%,0.02%,0.23%,0.02%,0.09%,0.01%,0.04%,0.01%,0.03%,0.01%,0.04%,0.01%,0.05%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.50,120.58,121.42,0.91,0.99,1.06,3.16%,0.08,0.12%,2.17%,0.05%,1.67%,0.03%,1.10%,0.03%,1.00%,0.02%,0.17%,0.02%,0.35%,0.01%,0.25%,0.01%,0.09%,0.01%,0.08%,0.01%,0.10%,0.01%,0.08%,0.01%,0.03%,0.01,0.03,0.00,0.06,0.00,0.04,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,237.82,239.28,240.24,0.00,0.00,0.00,2.93%,0.00,0.12%,2.09%,0.05%,1.48%,0.03%,0.98%,0.02%,0.94%,0.02%,0.14%,0.01%,0.29%,0.01%,0.16%,0.01%,0.05%,0.01%,0.05%,0.01%,0.04%,0.01%,0.04%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,0.934,108,36,59.95,60.00,60.05
