Time,End,lat,lon,Phase C-A Min Volts
23-07-2018 10:00:00,23-07-2018 10:00:00,09.99718, -84.12437,116.2
23-07-2018 10:00:00,23-07-2018 10:00:00,09.99542, -84.12355,117.22
23-07-2018 11:00:00,23-07-2018 11:00:00,09.99718, -84.12437,116.24
23-07-2018 11:00:00,23-07-2018 11:00:00,09.99542, -84.12355,117.94
23-07-2018 11:00:00,23-07-2018 11:00:00,09.99300, -84.11787,120.16
23-07-2018 11:00:00,23-07-2018 11:00:00,10.05778, -84.41879,117.14
23-07-2018 12:00:00,23-07-2018 12:00:00,09.99718, -84.12437,116.96
23-07-2018 12:00:00,23-07-2018 12:00:00,09.99542, -84.12355,116.74
23-07-2018 12:00:00,23-07-2018 12:00:00,09.99300, -84.11787,120.64
23-07-2018 12:00:00,23-07-2018 12:00:00,09.99329, -84.11588,116.48
23-07-2018 12:00:00,23-07-2018 12:00:00,09.99236, -84.12568,117.7
23-07-2018 12:00:00,23-07-2018 12:00:00,09.99043, -84.11661,120.74
23-07-2018 12:00:00,23-07-2018 12:00:00,10.05778, -84.41879,118.04
23-07-2018 12:00:00,23-07-2018 12:00:00,10.05603, -84.42005,117.58
23-07-2018 12:00:00,23-07-2018 12:00:00,10.05621, -84.42350,118.58
23-07-2018 13:00:00,23-07-2018 13:00:00,09.99718, -84.12437,116.42
23-07-2018 13:00:00,23-07-2018 13:00:00,09.99542, -84.12355,118.62
23-07-2018 13:00:00,23-07-2018 13:00:00,09.99300, -84.11787,121.12
23-07-2018 13:00:00,23-07-2018 13:00:00,09.99329, -84.11588,117.62
23-07-2018 13:00:00,23-07-2018 13:00:00,09.99236, -84.12568,117.18
23-07-2018 13:00:00,23-07-2018 13:00:00,09.99043, -84.11661,121.44
23-07-2018 13:00:00,23-07-2018 13:00:00,09.98989, -84.11375,117.26
23-07-2018 13:00:00,23-07-2018 13:00:00,10.05778, -84.41879,118.82
23-07-2018 13:00:00,23-07-2018 13:00:00,10.05603, -84.42005,119.3
23-07-2018 13:00:00,23-07-2018 13:00:00,10.05621, -84.42350,119.1
23-07-2018 13:00:00,23-07-2018 13:00:00,10.06185, -84.42496,114.74
23-07-2018 13:00:00,23-07-2018 13:00:00,10.05587, -84.43467,119.06
23-07-2018 13:00:00,23-07-2018 13:00:00,10.05345, -84.43675,115.52
23-07-2018 14:00:00,23-07-2018 14:00:00,09.99718, -84.12437,115.56
23-07-2018 14:00:00,23-07-2018 14:00:00,09.99542, -84.12355,117.02
23-07-2018 14:00:00,23-07-2018 14:00:00,09.99300, -84.11787,120.1
23-07-2018 14:00:00,23-07-2018 14:00:00,09.99329, -84.11588,116.58
23-07-2018 14:00:00,23-07-2018 14:00:00,09.99236, -84.12568,116.02
