0,Evento,Hora inicio,dato des,Valor máximo,Hora final,segundo dat,Duración
1,Interrupción voltaje UL3,27.01.2018 11:52:37,606,7.455,27.01.2018 11:52:37,832,0s 225ms
2,Interrupción voltaje UL1,27.01.2018 11:52:37,764,0.000,27.01.2018 13:50:39,095,1h 58m 1s 330ms
3,Interrupción voltaje UL2,27.01.2018 11:52:37,764,0.000,27.01.2018 13:50:39,095,1h 58m 1s 330ms
4,Interrupción de voltaje U12,27.01.2018 11:52:37,764,0.000,27.01.2018 13:50:39,095,1h 58m 1s 330ms
5,Interrupción de voltaje U23,27.01.2018 11:52:37,764,8.892,27.01.2018 11:52:37,832,0s 67ms
6,Interrupción de voltaje U31,27.01.2018 11:52:37,764,0.000,27.01.2018 13:50:39,095,1h 58m 1s 330ms
7,Interrupción voltaje UL3,27.01.2018 11:52:37,848,0.000,27.01.2018 13:50:39,095,1h 58m 1s 246ms
8,Interrupción de voltaje U23,27.01.2018 11:52:37,848,0.000,27.01.2018 13:50:39,095,1h 58m 1s 246ms
9,Interrupción voltaje UL1,29.01.2018 02:02:28,647,0.020,29.01.2018 02:02:30,689,2s 41ms
10,Interrupción voltaje UL2,29.01.2018 02:02:28,647,0.021,29.01.2018 02:02:30,689,2s 41ms
11,Interrupción de voltaje U12,29.01.2018 02:02:28,647,0.021,29.01.2018 02:02:30,689,2s 41ms
12,Interrupción de voltaje U23,29.01.2018 02:02:28,706,0.026,29.01.2018 02:02:30,689,1s 982ms
13,Interrupción de voltaje U31,29.01.2018 02:02:28,706,0.025,29.01.2018 02:02:30,689,1s 982ms
14,Interrupción voltaje UL3,29.01.2018 02:02:28,714,0.026,29.01.2018 02:02:30,689,1s 974ms
