lon,lat,N° de equipo,Fecha de instalacion,Fecha de desinstalacion
 -85.43741,10.63083,3177,15/01/2018 11:50,23/01/2018 08:00
 -85.43429,10.63050,3182,15/01/2018 15:10,23/01/2018 08:30
 -85.43679,10.62945,3165,15/01/2018 15:50,23/01/2018 08:40
 -85.43819,10.63263,3176,15/01/2018 16:20,23/01/2018 08:20
 -85.44240,10.63198,3169,15/01/2018 16:40,23/01/2018 08:50
 -85.44334,10.62974,3187,15/01/2018 17:10,23/01/2018 09:00
 -85.61490,10.65724,3194,17/01/2018 10:10,24/01/2018 16:20
 -85.62665,10.71660,3184,17/01/2018 11:10,24/01/2018 16:40
 -85.41459,11.06599,3180,16/01/2018 09:50,23/01/2018 11:30
 -85.41634,11.06238,3191,16/01/2018 10:10,23/01/2018 11:40
 -85.41280,11.05816,3172,16/01/2018 10:40,23/01/2018 11:40
 -85.42870,11.06010,3192,16/01/2018 11:10,23/01/2018 12:00
 -85.63393,11.07974,3195,16/01/2018 13:50,23/01/2018 14:10
 -85.63175,11.07236,3181,16/01/2018 14:20,23/01/2018 14:20
 -85.45362,10.62332,3171,16/01/2018 15:30,23/01/2018 15:40
 -85.44877,10.62480,3164,16/01/2018 16:00,23/01/2018 16:00
 -85.62812,10.71553,3168,17/01/2018 11:20,24/01/2018 16:50
 -85.61118,10.60246,3189,17/01/2018 12:20,24/01/2018 17:10
 -85.58913,10.56157,3166,17/01/2018 13:00,25/01/2018 09:20
 -85.58909,10.57019,3193,17/01/2018 13:30,25/01/2018 09:11
 -84.93695,09.81909,3334,22/01/2018 11:40,30/01/2018 08:50
 -84.93361,09.82047,3163,22/01/2018 12:10,30/01/2018 08:30
 -84.93365,09.81455,3332,22/01/2018 12:40,30/01/2018 09:20
 -85.03696,09.94668,3330,22/01/2018 15:40,29/01/2018 16:10
 -85.04046,09.95525,3190,22/01/2018 16:30,29/01/2018 16:30
 -85.03797,09.95461,3167,22/01/2018 17:40,29/01/2018 17:40
 -85.25247,09.99294,3333,23/01/2018 14:30,30/01/2018 15:50
 -85.25330,09.99382,3329,23/01/2018 15:00,30/01/2018 16:10
 -85.25285,09.99508,3161,23/01/2018 15:20,30/01/2018 16:20
 -85.25106,09.99493,3175,23/01/2018 16:30,30/01/2018 16:50
 -85.30450,10.00065,3179,24/01/2018 09:40,31/01/2018 09:40
 -85.30605,10.00308,3162,24/01/2018 10:10,31/01/2018 10:10
 -85.30548,09.99720,3178,24/01/2018 10:30,31/01/2018 10:30
 -85.31175,09.99272,3335,24/01/2018 10:50,31/01/2018 11:00
 -85.32133,09.98663,3183,24/01/2018 11:30,31/01/2018 11:30
 -85.31295,09.98134,3173,24/01/2018 12:20,31/01/2018 12:30
 -85.71339,10.54201,3172,24/01/2018 09:40,31/01/2018 09:40
 -85.71218,10.54273,3182,24/01/2018 10:00,31/01/2018 10:00
 -85.70926,10.54175,3165,24/01/2018 10:20,31/01/2018 10:20
 -85.70639,10.54224,3169,24/01/2018 10:30,31/01/2018 10:40
 -85.70559,10.54633,3177,24/01/2018 10:50,31/01/2018 11:10
 -85.69848,10.54356,3192,24/01/2018 11:10,31/01/2018 13:10
 -85.59554,10.55092,3176,24/01/2018 11:50,31/01/2018 11:50
 -85.65375,10.57106,3180,24/01/2018 12:40,31/01/2018 12:40
 -85.65362,10.57916,3195,24/01/2018 13:00,01/02/2018 07:50
 -85.64328,10.52630,3187,24/01/2018 13:40,01/02/2018 08:10
 -85.64801,10.51254,3164,24/01/2018 14:20,01/02/2018 08:30
 -85.64507,10.51205,3171,24/01/2018 14:50,01/02/2018 08:20
 -85.64502,10.51346,3337,24/01/2018 15:20,01/02/2018 08:40
 -85.64494,10.51879,3340,24/01/2018 15:40,01/02/2018 08:50
 -85.64541,10.52087,3181,24/01/2018 16:00,01/02/2018 09:00
 -85.64610,10.51938,3339,24/01/2018 16:10,01/02/2018 09:05
 -85.57387,10.51635,3184,30/01/2018 08:20,06/02/2018 09:00
 -85.57209,10.51526,3166,30/01/2018 08:40,06/02/2018 09:20
 -85.57491,10.51497,3193,30/01/2018 09:10,06/02/2018 09:40
 -85.57172,10.51684,3331,30/01/2018 09:40,06/02/2018 10:00
 -85.57236,10.51708,3189,30/01/2018 10:10,06/02/2018 10:20
 -85.57873,10.51665,3168,30/01/2018 10:40,6/02/2018 10:40
 -85.55131,10.44456,3177,31/01/2018 16:00,07/02/2018 16:00
 -85.55231,10.44658,3182,31/01/2018 16:20,07/02/2018 16:20
 -85.55193,10.44874,3165,31/01/2018 16:50,07/02/2018 17:50
 -85.55356,10.44805,3192,31/01/2018 17:20,07/02/2018 17:55
 -85.64840,10.51689,3169,01/02/2018 09:50,08/02/2018 10:10
 -85.64714,10.51746,3180,01/02/2018 10:00,08/02/2018 10:20
 -85.64649,10.51852,3176,01/02/2018 10:20,08/02/2018 10:40
 -85.64752,10.51515,3172,01/02/2018 10:50,08/02/2018 10:50
 -85.24995,09.99275,3336,29/01/2018 12:40,05/02/2018 13:40
 -85.25472,10.00209,3194,29/01/2018 14:30,05/02/2018 14:50
 -85.25666,10.00881,3342,29/01/2018 15:00,05/02/2018 15:10
 -85.23336,10.02951,3334,30/01/2018 13:50,06/02/2018 15:00
 -85.23483,10.03042,3167,30/01/2018 14:10,06/02/2018 15:30
 -85.23946,10.03050,3330,30/01/2018 14:40,06/02/2018 15:10
 -85.23831,10.02873,3190,30/01/2018 15:10,06/02/2018 15:40
 -85.23322,10.02834,3332,30/01/2018 15:30,6/02/2018 16:00
 -85.22269,10.02838,3163,30/01/2018 16:00,06/02/2018 16:10
 -85.25419,09.99460,3175,30/01/2018 17:30,06/02/2018 17:30
